QUERY_ID	BEST_MATCH	SCORE	GENUS	FAMILY	ORDER	CLASS	PHYLUM
read0	Escherichia_coli_SMS-3-5	-642.2917	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read1	Escherichia_coli_UTI89	-636.5567	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read10	Escherichia_coli_str._K-12_substr._DH10B	-638.5704	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read100	Escherichia_coli_UTI89	-642.9767	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read101	Escherichia_coli_S88	-630.6279	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read102	Escherichia_coli_S88	-641.9766	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read103	Escherichia_coli_UMN026	-636.7741	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read104	Escherichia_coli_APEC_O1	-630.1410	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read105	Escherichia_coli_APEC_O1	-615.6190	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read106	Escherichia_coli_O26COLONCOLONH11_str._11368	-640.8667	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read107	Escherichia_coli_IAI39	-627.8102	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read108	Escherichia_coli_O157COLONCOLONH7_str._TW14359	-650.8211	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read109	Escherichia_coli_UTI89	-631.5295	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read11	Escherichia_coli_BW2952	-630.5091	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read110	Escherichia_coli_APEC_O1	-625.5909	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read111	Escherichia_coli_ED1a	-644.9219	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
read112	Escherichia_coli_APEC_O1	-634.7982	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria
